Nome,Categoria,Duracao,Imagem
Páginas da Vida,Novelas,87.50,https://s2.glbimg.com/q0iRmHCjQhZFCnv858oKdXKPEUo=/362x536/https://s2.glbimg.com/EL3X5wEeWIw0R-3oe-VNaIQLxJo=/i.s3.glbimg.com/v1/AUTH_d2470d85104948f09eee09d5028bee11/internal_photos/bs/2021/T/L/QZbjidRgu5z3hM6RSKKQ/2021-41-paginas-da-vida-poster.jpg
Por Amor,Novelas,62.88,https://s2.glbimg.com/wJ1qql_2WlYTaBkriSkpuzOwejg=/362x536/https://s2.glbimg.com/f8MhEyTi9rdppTfqMk-gtfCZB8Y=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/K/8/l18LARTqyAO8FAVMTAKA/2019-346-vale-a-pena-ver-de-novo-por-amor-poster.jpg
Como Uma Onda,Novelas,42.65,https://s2.glbimg.com/57CCBuIdQ4BlVk9uNgk3U51UOIE=/362x536/https://s2.glbimg.com/n7WzVeM48vREJQfKhznwACuYgu4=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2023/M/A/qeVK1gQJi0nZk9VqVmDw/2023-3384-como-uma-onda-poster.jpg
Chocolate com Pimenta – Edição Especial,Novelas,38.26,https://s2.glbimg.com/fRMBwD-cqHeus_KzuR7OKjlPUzk=/362x536/https://s2.glbimg.com/mf_AqNfz9rWB3VrgachV4Hm9hsk=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2020/B/J/LABeutSPiGutoBGQOPiQ/2020-986-chocolate-com-pimenta-poster.jpg
Tempos Modernos,Novelas,52.84,https://s2.glbimg.com/bXDB9ay2xeEC53Y-PhukNm9afRM=/362x536/https://s2.glbimg.com/4Wyp5JCwURPPlXwngY3ygGztgW8=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/51/68/e661fca76e6153b28b6d4e841b0c.jpg
Ti-ti-ti,Novelas,56.04,https://s2.glbimg.com/x0lgAeAiPpUH0SqwjeloA3KtLYE=/362x536/https://s2.glbimg.com/AYUUg1WveOFXpxxht7MU36EGjfE=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/a0/ee/15e95ddc1fec9a800d697f93f813.jpg
"Pão-Pão, Beijo-Beijo",Novelas,37.22,https://s2.glbimg.com/4fJRnZkShM6Ce58AKJ6o2Zh1ses=/362x536/https://s2.glbimg.com/slxJvCae-SQsONSjYR0fFNRJr1k=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/2/R/yxrcVORMuJTOXOUP44ww/2022-3291-pao-pao-beijo-beijo-poster.jpg
Império,Novelas,72.59,https://s2.glbimg.com/M39vbh7uN4XKePfSfaHTvlBaN68=/362x536/https://s2.glbimg.com/_HnGMSursojZCO1Fg-mx_9t-0t8=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2021/B/h/i8bg7MT9eGzsPmBgI8XA/2020-1362-imperio-poster.jpg
Boogie Oogie,Novelas,51.80,https://s2.glbimg.com/Pf7A60fGVBME69gPRHeaw9VdAEg=/362x536/https://s2.glbimg.com/X0dmPUPimRJejp_HtG7YVym_4fY=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/ab/48/7977df7eba09a7166ffc47d18df9.jpg
I Love Paraisópolis,Novelas,41.71,https://s2.glbimg.com/fnCoHCNgHccV16AnXiOodKn30Gk=/362x536/https://s2.glbimg.com/kyRBkHOpEmX3JlPoSYQklv7glU4=/s3.glbimg.com/v1/AUTH_180b9dd048d9434295d27c4b6dadc248/media_kit/d3/f4/c98439a15b1f2c1af95b082ec085.jpg
Vale Tudo,Novelas,43.20,https://geovannesolamini.files.wordpress.com/2021/01/globoplay-vale-tudo.jpg?w=600
Rock Story,Novelas,42.06,https://i.pinimg.com/474x/c5/86/94/c58694065446cf986a1be8d0335f4445.jpg
Flor do Caribe - Edição Especial,Novelas,36.19,https://s2.glbimg.com/Xx_Gr7Xe7_r6WpmnABY3G7ic3IM=/600x0/filters:quality(70)/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2020/r/g/tQsiqhQyCzJI9OKUEB5g/2020-1096-flor-do-caribe-poster.jpg
